agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Kansas City Police Department,1421.0,Local police department,MO,Jackson,Kansas City,64106,29095,,
Fairfax County Police Department,1419.0,Local police department,VA,Fairfax,Fairfax,22030,51059,,
Sacramento County Sheriff's Office,1409.0,Sheriff's office,CA,Sacramento,Sacramento,95814,6067,,
Orange County Sheriff's Office,1398.0,Sheriff's office,FL,Orange,Orlando,32804,12095,,
San Jose Police Department,1382.0,Local police department,CA,Santa Clara,San Jose,95110,6085,,
St. Louis (city) Police Dept,1351.0,Local police department,MO,St. Louis City,St Louis,63103,29510,,
San Diego County Sheriff's Office,1322.0,Sheriff's office,CA,San Diego,San Diego,92193,6073,,
Nashville Metro Police Department,1315.0,Local police department,TN,Davidson,Nashville,37201,47037,,
Indiana State Police,1315.0,Primary state law enforcement agency,IN,Marion,Indianapolis,46204,18097,,
Newark Police,1310.0,Local police department,NJ,Essex,Newark,7102,34013,,
Seattle Police Department,1283.0,Local police department,WA,King,Seattle,98124,53033,,
Arizona Department of Public Safety,1244.0,Primary state law enforcement agency,AZ,Maricopa,Phoenix,85005,4013,,
Connecticut State Police,1227.0,Primary state law enforcement agency,CT,Middlesex,Middletown,6457,9007,,
Hillsborough County Sheriff's Office,1223.0,Sheriff's office,FL,Hillsborough,Tampa,33601,12057,,
Louisiana State Police,1215.0,Primary state law enforcement agency,LA,East Baton Rouge,Baton Rouge,70806,22033,,
Montgomery County Police Department,1206.0,Local police department,MD,Montgomery,Rockville,20850,24031,,
Louisville Metro Police Department,1197.0,Local police department,KY,Jefferson,Louisville,40202,21111,,
El Paso Police Department,1132.0,Local police department,TX,El Paso,El Paso,79903,48141,,
Washington State Patrol,1132.0,Primary state law enforcement agency,WA,Thurston,Olympia,98504,53067,,
Miami Police Department,1104.0,Local police department,FL,Miami-Dade,Miami,33128,12086,,
Cincinnati Police Department,1082.0,Local police department,OH,Hamilton,Cincinnati,45214,39061,,
DeKalb County Police Department,1074.0,Local police department,GA,DeKalb,Tucker,30084,13089,,
Wayne County Sheriff's Office,1062.0,Sheriff's office,MI,Wayne,Detroit,48226,26163,,
Georgia Department of Public Safety,1048.0,Primary state law enforcement agency,GA,Fulton,Atlanta,30371,13121,,
Oklahoma City Police Department,1046.0,Local police department,OK,Oklahoma,Okla. City,73102,40109,,
Tucson Police Department,1032.0,Local police department,AZ,Pima,Tucson,85701,4019,,
Missouri State Highway Patrol,1028.0,Primary state law enforcement agency,MO,Cole,Jefferson City,65102,29051,,
Albuquerque Police Department,1020.0,Local police department,NM,Bernalillo,Albuquerque,87102,35001,,
Tampa Police Department,980.0,Local police department,FL,Hillsborough,Tampa,33602,12057,,
Long Beach Police Department,968.0,Local police department,CA,Los Angeles,Long Beach,90802,6037,,
South Carolina Highway Patrol,967.0,Primary state law enforcement agency,SC,Richland,Blythewood,29016,45079,,
Alameda County Sheriff's Office,928.0,Sheriff's office,CA,Alameda,Oakland,94612,6001,,
Portland Police Bureau,928.0,Local police department,OR,Multnomah,Portland,97204,41051,,
Minneapolis Police Department,902.0,Local police department,MN,Hennepin,Minneapolis,55415,27053,,
Jersey City Police,900.0,Local police department,NJ,Hudson,Jersey City,7302,34017,,
Pittsburgh Police Department,891.0,Local police department,PA,Allegheny,Pittsburgh,15233,42003,,
Kentucky State Police,882.0,Primary state law enforcement agency,KY,Franklin,Frankfort,40601,21073,,
Pinellas County Sheriff's Office,863.0,Sheriff's office,FL,Pinellas,Largo,33779,12103,,
San Francisco Sheriff's Department,838.0,Sheriff's office,CA,San Francisco,San Francisco,94102,6075,,
Mesa Police Department,831.0,Local police department,AZ,Maricopa,Mesa,85201,4013,,
Fresno Police Department,828.0,Local police department,CA,Fresno,Fresno,93721,6019,,
Tulsa Police Department,826.0,Local police department,OK,Tulsa,Tulsa,74103,40143,,
Jefferson Parish Sheriff's Office,825.0,Sheriff's office,LA,Jefferson,Harvey,70058,22051,,
Oklahoma Department of Public Safety,825.0,Primary state law enforcement agency,OK,Oklahoma,"Okla. City,",73136,40109,,
Birmingham Police Department,816.0,Local police department,AL,Jefferson,Birmingham,35203,1073,,
Virginia Beach Police Department,813.0,Local police department,VA,Virginia Beach City,Virginia Beach,23456,51810,,
Oakland County Sheriff's Office,796.0,Sheriff's office,MI,Oakland,Pontiac,48341,26125,,
Buffalo Police Department,793.0,Local police department,NY,Erie,Buffalo,14202,36029,,
St. Louis County Police Dept,781.0,Local police department,MO,St. Louis,St Louis,63105,29189,,
Oakland Police Department,773.0,Local police department,CA,Alameda,Oakland,94607,6001,,
Norfolk Police Department,772.0,Local police department,VA,Norfolk City,Norfolk,23510,51710,,
Maricopa County Sheriff's Office,766.0,Sheriff's office,AZ,Maricopa,Phoenix,85003,4013,,
Alabama Department of Public Safety,763.0,Primary state law enforcement agency,AL,Montgomery,Montgomery,36102,1101,,
Orlando Police Department,757.0,Local police department,FL,Orange,Orlando,32801,12095,,
Ventura County Sheriff's Office,755.0,Sheriff's office,CA,Ventura,Ventura,93009,6111,,
Richmond Police Department,752.0,Local police department,VA,Richmond City,Richmond,23220,51760,,
Omaha Police Dept,747.0,Local police department,NE,Douglas,Omaha,68102,31055,,
Colorado State Patrol,742.0,Primary state law enforcement agency,CO,Jefferson,Lakewood,80215,8059,,
Marion County Sheriff's Office,740.0,Sheriff's office,IN,Marion,Indianapolis,46204,18097,,
King County Sheriff's Office,721.0,Sheriff's office,WA,King,Seattle,98104,53033,,
Rochester Police Department,703.0,Local police department,NY,Monroe,Rochester,14614,36055,,
Raleigh Police Department,702.0,Local police department,NC,Wake,Raleigh,27602,37183,,
Sacramento Police Department,701.0,Local police department,CA,Sacramento,Sacramento,95822,6067,,
New York State Metropolitan Transportation Authority Police,694.0,Special jurisdiction,NY,New York,New York,10017,36061,,
Gwinnett County Police Department,682.0,Local police department,GA,Gwinnett,Lawrenceville,30045,13135,,
Contra Costa County Sheriff's Office,679.0,Sheriff's office,CA,Contra Costa,Martinez,94553,6013,,
Iowa Department of Public Safety,669.0,Primary state law enforcement agency,IA,Polk,Des Moines,50319,19153,,
Colorado Springs Police Department,668.0,Local police department,CO,El Paso,Colorado Springs,80901,8041,,
West Virginia State Police,667.0,Primary state law enforcement agency,WV,Kanawha,South Charleston,25309,54039,,
Wichita Police Department,662.0,Local police department,KS,Sedgwick,Wichita,67202,20173,,
Delaware State Police,658.0,Primary state law enforcement agency,DE,Kent,Dover,19903,10001,,
California Parks & Recreation - Law Enforcement,645.0,Special jurisdiction,CA,Sacramento,Sacramento,95814,6067,,
Yonkers Police Department,641.0,Local police department,NY,Westchester,Yonkers,10701,36119,,
Toledo Police Department,640.0,Local police department,OH,Lucas,Toledo,43624,39095,,
Anne Arundel County Police Department,633.0,Local police department,MD,Anne Arundel,Millersville,21108,24003,,
Baton Rouge Police Department,630.0,Local police department,LA,East Baton Rouge,Baton Rouge,70802,22033,,
Collier County Sheriff's Office,628.0,Sheriff's office,FL,Collier,Naples,34112,12021,,
Aurora Police Department,627.0,Local police department,CO,Arapahoe,Aurora,80012,8005,,
Lee County Sheriff's Office,621.0,Sheriff's office,FL,Lee,Fort Myers,33912,12071,,
Arlington Police Department,610.0,Local police department,TX,Tarrant,Arlington,76011,48439,,
Polk County Sheriff's Office,600.0,Sheriff's office,FL,Polk,Bartow,33830,12105,,
St. Paul Police Department,598.0,Local police department,MN,Ramsey,St. Paul,55101,27123,,
Oregon State Police,596.0,Primary state law enforcement agency,OR,Marion,Salem,97317,41047,,
Mississippi Highway Safety Patrol,594.0,Primary state law enforcement agency,MS,Hinds,Jackson,39216,28049,,
Greensboro Police Department,593.0,Local police department,NC,Guilford,Greensboro,27402,37081,,
Calcasieu Parish Sheriff's Office,592.0,Sheriff's office,LA,Calcasieu,Lake Charles,70602,22019,,
Cobb County Police Department,590.0,Local police department,GA,Cobb,Marietta,30060,13067,,
Los Angeles World Airports Police,577.0,Special jurisdiction,CA,Los Angeles,Los Angeles,90045,6037,,
Jefferson County Sheriff's Office,556.0,Sheriff's office,AL,Jefferson,Birmingham,35203,1073,,
Henrico County Division of Police,554.0,Local police department,VA,Henrico,Henrico,23273,51087,,
Pima County Sheriff's Dept.,554.0,Sheriff's office,AZ,Pima,Tucson,85714,4019,,
Lexington Division of Police,549.0,Local police department,KY,Fayette,Lexington,40507,21067,,
Prince William County Police Department,546.0,Local police department,VA,Prince William,Prince William,22192,51153,,
Jefferson County Sheriff's Office,537.0,Sheriff's office,CO,Jefferson,Golden,80401,8059,,
Savannah-Chatham Metropolitan Police Department,534.0,Local police department,GA,Chatham,Savannah,31412,13051,,
Gwinnett County Sheriff's Office,531.0,Sheriff's office,GA,Gwinnett,Lawrenceville,30043,13135,,
Minnesota State Patrol,530.0,Primary state law enforcement agency,MN,Ramsey,St. Paul,55101,27123,,
Passaic County Sheriff's Office,530.0,Sheriff's office,NJ,Passaic,Wayne,7470,34031,,
New Mexico State Police,528.0,Primary state law enforcement agency,NM,Santa Fe,Santa Fe,87507,35049,,
Bexar County Sheriff's Office,526.0,Sheriff's office,TX,Bexar,San Antonio,78207,48029,,
Arkansas State Police,525.0,Primary state law enforcement agency,AR,Pulaski,Little Rock,72209,5119,,
Kansas Highway Patrol,525.0,Primary state law enforcement agency,KS,Shawnee,Topeka,66603,20177,,
Milwaukee County Sheriff's Office,524.0,Sheriff's office,WI,Milwaukee,Milwaukee,53233,55079,,
Little Rock Police Department,520.0,Local police department,AR,Pulaski,Little Rock,72201,5119,,
Fulton County Sheriff's Office,516.0,Sheriff's office,GA,Fulton,Atlanta,30303,13121,,
Shelby County Sheriff's Office,516.0,Sheriff's office,TN,Shelby,Memphis,38103,47157,,
Mobile Police Department,515.0,Local police department,AL,Mobile,Mobile,36606,1097,,
Tulare County Sheriff's Office,513.0,Sheriff's office,CA,Tulare,Visalia,93291,6107,,
Richland County Sheriff's Office,512.0,Sheriff's office,SC,Richland,Columbia,29223,45079,,
Kern County Sheriff's Office,512.0,Sheriff's office,CA,Kern,Bakersfield,93308,6029,,
Shreveport Police Department,511.0,Local police department,LA,Caddo,Shreveport,71101,22017,,
St. Petersburg Police Department,510.0,Local police department,FL,Pinellas,St. Petersburg,33705,12103,,
Winston-Salem Police Department,508.0,Local police department,NC,Forsyth,Winston-Salem,27102,37067,,
Orleans Parish Sheriff's Office (Criminal Division),505.0,Sheriff's office,LA,Orleans,New Orleans,70119,22071,,
Montgomery Police Department,500.0,Local police department,AL,Montgomery,Montgomery,36104,1101,,
Fairfax County Sheriff's Office,499.0,Sheriff's office,VA,Fairfax,Fairfax,22030,51059,,
Brevard County Sheriff's Office,497.0,Sheriff's office,FL,Brevard,Titusville,32780,12009,,
Paterson Police,497.0,Local police department,NJ,Passaic,Paterson,7505,34031,,
Johnson County Sheriff's Office,496.0,Sheriff's office,KS,Johnson,Olathe,66061,20091,,
Durham Police Department,494.0,Local police department,NC,Durham,Durham,27701,37063,,
Monmouth County Sheriff's Office,494.0,Sheriff's office,NJ,Monmouth,Freehold,7728,34025,,
Wisconsin State Patrol,492.0,Primary state law enforcement agency,WI,Dane,Madison,53707,55025,,
Nebraska State Patrol,491.0,Primary state law enforcement agency,NE,Lancaster,Lincoln,68509,31109,,
Syracuse Police Department,489.0,Local police department,NY,Onondaga,Syracuse,13202,36067,,
Pasco County Sheriff's Office,485.0,Sheriff's office,FL,Pasco,New Port Richey,34654,12101,,
Providence Police Department,483.0,Local police department,RI,Providence,Providence,2903,44007,,
Worcester Police Department,482.0,Local police department,MA,Worcester,Worcester,1608,25027,,
Fort Lauderdale Police Department,482.0,Local police department,FL,Broward,Fort Lauderdale,33312,12011,,
Jackson Police Department,480.0,Local police department,MS,Hinds,Jackson,39205,28049,,
Texas Parks & Wildlife Department,480.0,Special jurisdiction,TX,Travis,Austin,78744,48453,,
Manatee County Sheriff's Office,476.0,Sheriff's office,FL,Manatee,Palmetto,34221,12081,,
Chesterfield County Police Department,475.0,Local police department,VA,Chesterfield,Chesterfield,23832,51041,,
Utah Department of Public Safety,475.0,Primary state law enforcement agency,UT,Salt Lake,Salt Lake City,84114,49035,,
Akron Police Department,472.0,Local police department,OH,Summit,Akron,44308,39153,,
North Las Vegas Police Department,471.0,Local police department,NV,Clark,North Las Vegas,89030,32003,,
Springfield Police Department,464.0,Local police department,MA,Hampden,Springfield,1105,25013,,
Fresno County Sheriff's Office,461.0,Sheriff's office,CA,Fresno,Fresno,93721,6019,,
Maryland Transportation Authority Police,456.0,Special jurisdiction,MD,Baltimore,Baltimore,21222,24005,,
Knox County Sheriff's Office,456.0,Sheriff's office,TN,Knox,Knoxville,37902,47093,,
Franklin County Sheriff's Office,455.0,Sheriff's office,OH,Franklin,Columbus,43215,39049,,
Dane County Sheriff's Office,454.0,Sheriff's office,WI,Dane,Madison,53703,55025,,
El Paso County Sheriff's Office,454.0,Sheriff's office,CO,El Paso,Colorado Springs,80903,8041,,
Bergen County Sheriff's Office,452.0,Sheriff's office,NJ,Bergen,Hackensack,7601,34003,,
Santa Clara County Sheriff's Office,450.0,Sheriff's office,CA,Santa Clara,San Jose,95110,6085,,
Volusia County Sheriff's Office,450.0,Sheriff's office,FL,Volusia,Deland,32721,12127,,
Dallas County Sheriff's Office,449.0,Sheriff's office,TX,Dallas,Dallas,75207,48113,,
Tarrant County Sheriff's Office,449.0,Sheriff's office,TX,Tarrant,Fort Worth,76102,48439,,
Richmond County Sheriff's Office,449.0,Sheriff's office,GA,Richmond,Augusta,30901,13245,,
Corpus Christi Police Department,448.0,Local police department,TX,Nueces,Corpus Christi,78469,48355,,
Loudoun County Sheriff's Office,448.0,Sheriff's office,VA,Loudoun,Leesburg,20175,51107,,
Fort Wayne Police,447.0,Local police department,IN,Allen,Fort Wayne,46803,18003,,
Will County Sheriff's Office,445.0,Sheriff's office,IL,Will,Joliet,60432,17197,,
Leon County Sheriff's Office,443.0,Sheriff's office,FL,Leon,Tallahassee,32302,12073,,
Washington Metropolitan Area Transit Authority Police,442.0,Special jurisdiction,DC,District of Columbia,Washington,20001,11001,,
Caddo Parish Sheriff's Office,440.0,Sheriff's office,LA,Caddo,Shreveport,71101,22017,,
Madison Police Department,437.0,Local police department,WI,Dane,Madison,53703,55025,,
New Haven Police Department,436.0,Local police department,CT,New Haven,New Haven,6519,9009,,
Cobb County Sheriff's Office,435.0,Sheriff's office,GA,Cobb,Marietta,30060,13067,,
Chattanooga Police Department,434.0,Local police department,TN,Hamilton,Chattanooga,37406,47065,,
Salt Lake City Police Department,433.0,Local police department,UT,Salt Lake,Salt Lake City,84114,49035,,
Ouachita Parish Sheriff's Office,431.0,Sheriff's office,LA,Ouachita,Monroe,71201,22073,,
Laredo Police Department,430.0,Local police department,TX,Webb,Laredo,78041,48479,,
Virginia Beach (City) Sheriff's Office,429.0,Sheriff's office,VA,Virginia Beach City,Virginia Beach,23456,51810,,
Howard County Police Department,424.0,Local police department,MD,Howard,Ellicott City,21043,24027,,
Richmond (City) Sheriff's Office,424.0,Sheriff's office,VA,Richmond City,Richmond,23223,51760,,
Glendale Police Department,424.0,Local police department,AZ,Maricopa,Glendale,85301,4013,,
Essex County Sheriff's Office,423.0,Sheriff's office,NJ,Essex,Newark,7102,34013,,
Bridgeport Police Department,422.0,Local police department,CT,Fairfield,Bridgeport,6607,9001,,
Dayton Police Department,421.0,Local police department,OH,Montgomery,Dayton,45402,39113,,
Hawaii (County) Police Department,419.0,Local police department,HI,Hawaii,Hilo,96720,15001,,
"California Dept. of Justice, Div. of Law Enforcement",419.0,Special jurisdiction,CA,Sacramento,Sacramento,95811,6067,,
Scottsdale Police Dept,417.0,Local police department,AZ,Maricopa,Scottsdale,85251,4013,,
Nevada Highway Patrol,417.0,Primary state law enforcement agency,NV,Carson,Carson City,89711,32510,,
Newport News Police Department,415.0,Local police department,VA,Newport News City,Newport News,23605,51700,,
Stockton Police Department,415.0,Local police department,CA,San Joaquin,Stockton,95202,6077,,
Norfolk (City) Sheriff's Office,414.0,Sheriff's office,VA,Norfolk City,Norfolk,23510,51710,,
Martin County Sheriff's Office,414.0,Sheriff's office,FL,Martin,Stuart,34994,12085,,
Washoe County Sheriff's Office,414.0,Sheriff's office,NV,Washoe,Reno,89512,32031,,
St. Tammany Parish Sheriff's Office,409.0,Sheriff's office,LA,St. Tammany,Covington,70434,22103,,
Sarasota County Sheriff's Office,409.0,Sheriff's office,FL,Sarasota,Sarasota,34230,12115,,
Hartford Police Department,408.0,Local police department,CT,Hartford,Hartford,6120,9003,,
Arapahoe County Sheriff's Office,407.0,Sheriff's office,CO,Arapahoe,Centennial,80112,8005,,
Suffolk County Sheriff's Office,406.0,Sheriff's office,MA,Suffolk,Boston,2118,25025,,
Huntsville Police Department,405.0,Local police department,AL,Madison,Huntsville,35804,1089,,
Fort Bend County Sheriff's Office,400.0,Sheriff's office,TX,Fort Bend,Richmond,77469,48157,,
Columbus Police Department,400.0,Local police department,GA,Muscogee,Columbus,31902,13215,,
Anaheim Police Department,398.0,Local police department,CA,Orange,Anaheim,92805,6059,,
Camden Police,397.0,Local police department,NJ,Camden,Camden,8103,34007,,
Greenville County Sheriff's Office,397.0,Sheriff's office,SC,Greenville,Greenville,29601,45045,,
Ohio Department of Natural Resources - Office of Law Enforcement,394.0,Special jurisdiction,OH,Franklin,Columbus,43229,39049,,
Summit County Sheriff's Office,393.0,Sheriff's office,OH,Summit,Akron,44308,39153,,
Navajo Nation Tribal Department of Law Enforcement,393.0,Local police department,AZ,Apache,Window Rock,86515,4001,,
Osceola County Sheriff's Office,388.0,Sheriff's office,FL,Osceola,Kissimmee,34744,12097,,
Escambia County Sheriff's Office,388.0,Sheriff's office,FL,Escambia,Pensacola,32501,12033,,
Du Page County Sheriff's Office,386.0,Sheriff's office,IL,Du Page,Wheaton,60187,17043,,
Des Moines Police Department,385.0,Local police department,IA,Polk,Des Moines,50309,19153,,
Riverside Police Department,385.0,Local police department,CA,Riverside,Riverside,92501,6065,,
Charleston Police Department,382.0,Local police department,SC,Charleston,Charleston,29403,45019,,
Chesapeake Police Department,376.0,Local police department,VA,Chesapeake City,Chesapeake,23322,51550,,
Lubbock Police Department,376.0,Local police department,TX,Lubbock,Lubbock,79457,48303,,
Atlantic City Police,376.0,Local police department,NJ,Atlantic,Atlantic City,8401,34001,,
Knoxville Police Department,375.0,Local police department,TN,Knox,Knoxville,37927,47093,,
Miami Beach Police Department,374.0,Local police department,FL,Miami-Dade,Miami Beach,33139,12086,,
Anchorage Police Department,372.0,Local police department,AK,Anchorage,Anchorage,99507,2020,,
Tacoma Police Department,371.0,Local police department,WA,Pierce,Tacoma,98409,53053,,
Santa Ana Police Department,369.0,Local police department,CA,Orange,Santa Ana,92701,6059,,
Washington County Sheriff's Office,369.0,Sheriff's office,OR,Washington,Hillsboro,97123,41067,,
Lafayette Parish Sheriff's Office,367.0,Sheriff's office,LA,Lafayette,Lafayette,70501,22055,,
North Carolina State Bureau of Investigation,367.0,Special jurisdiction,NC,Wake,Raleigh,27626,37183,,
Adams County Sheriff's Office,364.0,Sheriff's office,CO,Adams,Brighton,80601,8001,,
Arlington County Police Department,364.0,Local police department,VA,Arlington,Arlington,22201,51013,,
Tallahassee Police Department,364.0,Local police department,FL,Leon,Tallahassee,32303,12073,,
Reno Police Department,362.0,Local police department,NV,Washoe,Reno,89505,32031,,
East Baton Rouge Parish Sheriff's Office,359.0,Sheriff's office,LA,East Baton Rouge,Baton Rouge,70821,22033,,
Chesapeake (City) Sheriff's Office,358.0,Sheriff's office,VA,Chesapeake City,Chesapeake,23322,51550,,
New Castle County Police Department,358.0,Local police department,DE,New Castle,New Castle,19720,10003,,
Tempe Police Department,357.0,Local police department,AZ,Maricopa,Tempe,85281,4013,,
Montgomery County Sheriff's Office,357.0,Sheriff's office,TX,Montgomery,Conroe,77301,48339,,
Mecklenburg County Sheriff's Office,355.0,Sheriff's office,NC,Mecklenburg,Charlotte,28202,37119,,
Seminole County Sheriff's Office,355.0,Sheriff's office,FL,Seminole,Sanford,32773,12117,,
Kansas City Police Department,354.0,Local police department,KS,Wyandotte,Kansas City,66101,20209,,
Wake County Sheriff's Office,354.0,Sheriff's office,NC,Wake,Raleigh,27602,37183,,
Columbia Police Department,351.0,Local police department,SC,Richland,Columbia,29201,45079,,
New Hampshire State Police,350.0,Primary state law enforcement agency,NH,Merrimack,Concord,3305,33013,,
Marion County Sheriff's Office,349.0,Sheriff's office,FL,Marion,Ocala,34478,12083,,
Elizabeth Police,348.0,Local police department,NJ,Union,Elizabeth,7201,34039,,
Bakersfield Police Department,348.0,Local police department,CA,Kern,Bakersfield,93301,6029,,
Harris County Constable Pct. 4,346.0,Constable/marshal,TX,Harris,Spring,77379,48201,,
San Bernardino Police Department,345.0,Local police department,CA,San Bernardino,San Bernardino,92401,6071,,
Irving Police Department,344.0,Local police department,TX,Dallas,Irving,75015,48113,,
South Carolina Law Enforcement Division,344.0,Special jurisdiction,SC,Richland,Columbia,29221,45079,,
Plano Police Department,343.0,Local police department,TX,Collin,Plano,75086,48085,,
New Jersey Division of Criminal Justice,342.0,Special jurisdiction,NJ,Mercer,Trenton,8625,34021,,
Salt Lake County Sheriff's Office,342.0,Sheriff's office,UT,Salt Lake,Salt Lake City,84190,49035,,
Fayetteville Police Department,341.0,Local police department,NC,Cumberland,Fayetteville,28301,37051,,
Los Angeles School Police Department,340.0,Special jurisdiction,CA,Los Angeles,Los Angleles,90015,6037,,
Cherokee County Sheriff's Office,340.0,Sheriff's office,GA,Cherokee,Canton,30115,13057,,
Hialeah Police Department,338.0,Local police department,FL,Miami-Dade,Hialeah,33013,12086,,
Clayton County Police Department,336.0,Local police department,GA,Clayton,Jonesboro,30236,13063,,
Henderson Police Department,336.0,Local police department,NV,Clark,Henderson,89009,32003,,
San Mateo County Sheriff's Office,334.0,Sheriff's office,CA,San Mateo,Redwood City,94063,6081,,
Maine State Police,334.0,Primary state law enforcement agency,ME,Kennebec,Augusta,4333,23011,,
Chandler Police Department,333.0,Local police department,AZ,Maricopa,Chandler,85244,4013,,
Hamilton County Sheriff's Office,330.0,Sheriff's office,OH,Hamilton,Cincinnati,45202,39061,,
California Dept of Fish And Game - Law Enforcement,330.0,Special jurisdiction,CA,Sacramento,Sacramento,95814,6067,,
Maui (County) Police Department,329.0,Local police department,HI,Maui,Wailuku,96793,15009,,
Albany Police Department,328.0,Local police department,NY,Albany,Albany,12210,36001,,
DeKalb County Sheriff's Office,325.0,Sheriff's office,GA,DeKalb,Decatur,30032,13089,,
North Charleston Police Department,325.0,Local police department,SC,Charleston,North Charleston,29419,45019,,
Garland Police Department,321.0,Local police department,TX,Dallas,Garland,75042,48113,,
New York State Department of Environmental Conservation,321.0,Special jurisdiction,NY,Albany,Albany,12233,36001,,
