agency_name,addr1,addr2
Alabama State Parks,"64 North Union Street, Suite  526", 
Alabama State Port Authority Police,Post Office Box 1588, 
Alabama State Senate -Security,11 North Union Street, 
Alabama State University Police,914 Tullibody Drive, 
Alabaster Police Department,201 1St Street North, 
Alachua County Sheriff's Office,Po Box 1210,2621 Hawthorne Rd
Alachua Police Department,Post Office Box 910, 
Alamance County Sheriff's Office,109 S Maple St, 
Alameda County Sheriff's Office,"1401 Lakeside Dr, Ste 1200", 
Alameda Police Department,1555 Oak Street, 
Alamo Community College District Police,"201 W Sheridan, Bldg C", 
Alamo Heights Police Department,6116 Broadway, 
Alamo Police Department,31 West Main St., 
Alamo Police Department,Post Office Box 646, 
Alamo Police Department,840 W. Austin, 
Alamogordo Department of Public Safety,700 Virginia Avenue, 
Alamosa County Sheriff's Office,1315 17Th St Ste 2, 
Alamosa Police Department,2431 Main St., 
Alapaha Police Department,Post Office Box 385, 
Alaska State Parks,550 W 7Th Ave Ste 1380, 
Alaska State Troopers,5700 E Tudor Road, 
Alaska Wildlife Troopers,5700 E Tudor Road, 
Alba Police Dept,P. O. Box 197, 
Albany Code Enforcement Department,Suite 300,240 Pine Ave.
Albany County Sheriff's Office,525 Grand Ave Rm 101, 
Albany County Sheriff's Office,16 Eagle St,Courthouse
Albany Police,212 East State Street, 
Albany Police Department,204 Water St., 
Albany Police Department,165 Henry Johnson Boulevard, 
Albany Police Department,400 Railroad Avenue,P.O. BOX 337
Albany Police Department,206 North Water Street, 
Albany Police Department,1117 Jackson Street Se, 
Albany Police Department,1000 San Pablo Avenue, 
Albany Police Department,Post Office Box 447, 
Albany Police Department,P. O. Box 595, 
Albany Police Department,Po Box 273, 
Albany Police Dept,P.O. Box 507,102 S. Main
Albany State University Dept of Public Safety,504 College Drive, 
Albemarle County Police Department,"1600 5Th St, Suite D", 
Albemarle County Sheriff's Office,410 E High St, 
Albemarle Police Department,Po Box 190, 
Albers Police Dept,P. O. Box 112,206 West Dwight St
Albert J. Ellis Airport Police Dept,264 Albert J. Ellis Airport Road, 
Albert Lea Police Department,221 E. Clark Street, 
Albertville Police Department,201 South Broad Street, 
Albia Police Department,103 2Nd Ave W, 
Albion Borough Police Department,26 Smock Ave, 
Albion Dept of Public Safety,112 West Cass St, 
Albion Police Department,Po Box 27,211 E. Park Drive
Albion Police Dept,438 West Market, 
Albion Police Dept,50 E Main Street, 
Albion Village Police Department,106 North Platt Street, 
Albuquerque Aviation Police,Po Box 9948, 
Albuquerque Police Department,"400 Roma, Nw", 
Albuquerque Public Schools Police Dept.,"6400 Uptown Blvd., N.E.", 
Alburtis Borough Police Department,260 Franklin Street,Po Box 435
Alcester Police Department,Po Box 318,106 W. 2nd
Alcoa Police Department,2020 N. Wright Road, 
Alcona County Sheriff's Office,214 W Main St, 
Alcorn County Sheriff's Office,305 S. FULTON DR., 
Alcorn State University Police Department,Post Office Box 929, 
Aldan Borough Police Department,1 W. Providence Rd., 
Alden Police Department,P.O. Box 325, 
Alderson Police Department,Post Office Box 179, 
Aldine I.S.D Police Dept.,14910 Aldine-Meadows Road, 
Aledo I.S.D Police Dept.,1008 Bailey Ranch Road, 
Aledo Police Dept,120 North College Ave, 
Alex Police Department,P. O. Box 27, 
Alexander City Police Department,Post Office Box 943, 
Alexander County Sheriff's Office,2000 Washington Ave, 
Alexander County Sheriff's Office,29 W Main Ave, 
Alexander Police Department,P.O. Box 610, 
Alexandria (City) Sheriff's Office,2003 Mill Road, 
Alexandria Bay Vlg Police Dept,110 Walton Street,PO Box 367
Alexandria Police,204 South Harrison Street, 
Alexandria Police Department,P.O. Box 277, 
Alexandria Police Department,1000 Bolton Ave., 
Alexandria Police Department,2003 Mill Road, 
Alexandria Police Department,216 7Th Avenue West, 
Alexandria Police Department,47 Washburn Road, 
Alexandria Police Department,8236 W. Main St., 
Alfalfa County Sheriff's Office,"Courthouse, 300 S Grand", 
Alfred Village Police Department,7 West University Street, 
Alger County Sheriff's Office,101 E Varnum St, 
Algoma Police Department,416 Fremont Street, 
Algona Police Department,402 Warde Street, 
Algona Police Department,112 W Call, 
Algonac Police Department,805 St Clair River Dr, 
Algonquin Police Dept,2200 Harnish Drive, 
Algood Police Department,P.O. Box 49215, 
Alhambra Police Department,211 S. First Street, 
Alice Police Department,415 East Main, 
Aliceville Police Department,215 First Street Northeast, 
Alief I.S.D Police Dept.,P. O. Box 68, 
Aliquippa Police Department,300 Franklin Avenue, 
Allamakee County Sheriff's Office,110 Allamakee St,PO Box 289
Allan Hancock College Police,800 S. College Dr, 
Allegan County Sheriff's Office,112 Walnut St, 
Allegan Police Department,170 Monroe St, 
Allegany County Bureau of Police,P.O. Box 1340,11400 PPG ROAD
Allegany County Sheriff's Office,708 Furnace St Ext, 
Allegany County Sheriff's Office,4884 State Route 19 S, 
Allegany Village Police Department,106 East Main Street,P.O. Box 25
Alleghany County Sheriff's Office,268 W Main St, 
Alleghany County Sheriff's Office,Po Box 53, 
Allegheny Co District Attorneys Office,1444 Hillsdale Avenue,Dormont Municipal Ctr
Allegheny County Police Department.,400 North Lexington St. Suite 201, 
Allegheny County Sheriff's Office,436 Grant St,Room 111 Courthouse
Allegheny Port Authority Transit Police,345 6Th Avenue, 
Allegheny Township Police Department,136 Community Bldg Rd, 
Allegheny Township Police Department,3131 Old Sixth Ave, 
Allen County Sheriff's Office,194 Wood St, 
Allen County Sheriff's Office,715 S Calhoun St Rm 101, 
Allen County Sheriff's Office,Po Box 433,1 North Washington
Allen County Sheriff's Office,333 N Main St,PO Box 1243
Allen Parish Sheriff's Office,Po Box 278,601 Court St
Allen Park Police Department,16850 Southfield Rd, 
Allen Police Department,P. O. Box 402, 
Allen Police Department,205 W Mcdermitt Dr, 
Allen Police Department,Po Box 510,21 Main St
Allendale Borough Police,290 Franklin Turnpike, 
Allendale County Sheriff's Office,Po Box 97, 
Allendale Police Department,Po Box 551, 
Allenhurst Borough Police,125 Corlies Avenue, 
Allenstown Police Department,40 Allenstown Road, 
Allentown Borough Police,8 North Main Street,P.O. Box 487
Allentown Police Department,425 Hamilton St, 
Alliance Police Department,470 East Market Street, 
Alliance Police Dept,P.O. Drawer D, 
Alma Department of Public Safety,525 East Superior, 
Alma Police Department,Post Office Box 1050, 
Alma Police Department,804 Fayetteville Ave.  Suite C, 
Alma Police Department,314 North Main Street, 
Alma Police Department,P.O. Box 429, 
Alma Police Department,Po Box 444, 
Almont Police Department,817 North Main, 
Alorton Police Dept,4821 Bond Ave, 
Alpena County Sheriff's Office,320 Johnson St, 
Alpena Police Department,501 West Chisholm St, 
Alpharetta Department of Public Safety,2565 Old Milton Parkway, 
Alpine Borough Police,100 Church Street,P.O. Box 1112
Alpine County Sheriff's Office,Po Box 278,14777 Highway 89
Alpine Police Department,309 W. Sul Ross Ave., 
Alpine Police Department,Po Box 3070, 
Alsip Police Dept,4500 West 123Rd St, 
Alstead Police Department,Po Box 137, 
Alta Police Department,223 S Main St, 
Alta Town Marshal,P.O. Box 8016,Alta Central Bldg Hwy 210
Altamont Police Department,Po Box 305, 
Altamont Police Dept,202 N 2Nd St, 
Altamont Village Police Department,P.O. Box 643, 
Altamonte Springs Police Department,225 Newburyport Avenue, 
Altavista Police Department,P.O. Box 420, 
Altha Police Department,Post Office Box 6, 
Alto Police Department,P.O. Box 216, 
Alto Police Department,P. O. Box 447, 
Alton Police Department,Po Box 240,15 Depot Street
Alton Police Department,205 West Main Street, 
Alton Police Department,101 Pine St   Po Box 247, 
Alton Police Dept,1700 East Broadway, 
Altoona Police Department,700 1St Ave S, 
Altoona Police Department,1106 16Th Street, 
Altoona Police Department,Post Office Box 100, 
Altoona Police Department,1904 Spooner Avenue, 
Alturas Police Department,200 W. North Street, 
Altus Police Department,121 N. Grady, 
Altus Public Schools Campus Police,219 North Lee, 
Alva Police Department,415 4Th Street, 
Alvarado Police Department,104 W. College St., 
Alvin Community College Police Dept.,3110 Mustang Road, 
Alvin I.S.D Police Department,802 S. Johnson, 
Alvin Police Dept,1500 S. Gordon St., 
Amador County Sheriff's Office,700 Court St, 
Amarillo Airport Police Dept.,10801 Airport Blvd., 
Amarillo College Police Dept.,P. O. Box 447, 
Amarillo Police Department,200 E. Third Avenue, 
Amber Police Department,P. O. Box 3, 
Amberley Village Police Department,7149 Ridge Road, 
Ambler Borough Police Department,122 E. Butler Avenue, 
Amboy Police Dept,227 East Main Street, 
Amboy/Vernon Center Police Department,244 East Maine St.,P.O. BOX 250
Ambridge Borough Police Department,600 Eleventh Street, 
Amelia County Sheriff's Office,Po Box 463,16441 Court St
Amelia Police Department,44 West Main Street, 
American Falls Police Department,540 N Oregon Trail, 
American Fork Police Department,75 East 80 North, 
American Township Police Department,102 Pioneer Road, 
Americus Police Department,101 West Lamar Street, 
Amery Police Department,675 HARRIMAN AVENUE S., 
Ames Police Department,515 Clark, 
Amesbury Police Department,19 School St, 
Amherst County Sheriff's Office,Po Box 531,115 Taylor St
Amherst Police Department,911 North Lake Street, 
Amherst Police Department,P.O. Box 280, 
Amherst Police Department,P. O. Box 560, 
Amherst Police Department,111 Main St, 
Amherst Police Department,Po Box 703,175 Amherst Street
Amherst Town Police Department,500 John James Audubon Parkway, 
Amite County Sheriff's Office,Po Box 208, 
Amite Police Department,101 Oak St., 
Amity Police Department,Po Box 159, 
Amity Police Department,P.O. Box 197, 
Amity Township Police Department,2004 Weavertown Rd, 
Amityville Village Police Department,21 Ireland Place, 
Amory Police Department,200 South Front Street, 
Amsterdam Police Department,P.O. Box 115,103 Springfield Street
Amsterdam Police Department,Public Safety Building,Guy Park Ave.Ext.
Anacoco Police Department,Po Box 280, 
Anaconda-Deer Lodge County Law Enforcement Agency,Box 518,800 S Oak
Anacortes Police Department,1218 24Th Street, 
Anadarko Police Department,201 N E First St, 
Anaheim Police Department,425 S. Harbor Boulevard, 
Anamosa Police Department,100 E 1St St, 
Anchorage International Airport Police,Po Box 190629, 
Anchorage Police Department,11506 Park Rd., 
Anchorage Police Department,4501 Elmore Rd, 
Andale Police Department,Po Box 338, 
Andalusia Police Dept.,P. O. Box 429, 
Anderson County Constable Pct. 1,P.O. Box 952, 
Anderson County Constable Pct. 2,P.O. Box 1158, 
Anderson County Constable Pct. 3,"703 N. Mallard, Ste. 114", 
Anderson County Public Safety - Environmental Enforcement,213 South Towers Street, 
Anderson County Sheriff's Office,823 W 7th Ave., 
Anderson County Sheriff's Office,1200 E Lacy St, 
Anderson County Sheriff's Office,305 Camson Rd,PO Box 5497
Anderson County Sheriff's Office,101 S Main St Ste 400, 
Anderson County Sheriff's Office,141 S Main St, 
Anderson Police,1040 Main Street, 
Anderson Police Department,401 South Main Street, 
Anderson Police Department,2220 North Street, 
Anderson Police Department,Po Box 397, 
Anderson Police Department,Post Office Box 8, 
Andover Police Department,P.O. Box 1267,134 Maple Street
Andover Police Department,32 North Main Street, 
Andover Police Department,Po Box 783, 
Andover Township Police,134 Newton Sparta Road, 
Andover Village Police Department,4 Main Street, 
Andrew County Sheriff's Office,402 W Market St, 
Andrews County Constable Pct. 1 and 4,"201 N. Main, #113", 
Andrews County Constable Pct. 2 and 3,"215 N.W. 1St Street, #3", 
Andrews County Sheriff's Office,201 N. Main St., 
Andrews Police,64 Main Street,Post Office Box 457
Andrews Police Department,Po Box 378, 
Andrews Police Department,130 N. Main Street, 
Andrews Police Department,Po Drawer 1210, 
Androscoggin County Sheriff's Office,2 Turner St, 
Angelina County Constable Pct. 1,P.O. Box 43, 
Angelina County Constable Pct. 2,P.O. Box 150423, 
Angelina County Constable Pct. 3,P. O. Box 311, 
Angelina County Sheriff's Office,2311 E Lufkin, 
Angelo State University Police,P. O. Box 11012, 
Angels Camp Police Department,P.O. Box 459, 
Angie Police Department,64475 Cherry St., 
Angier Police Department,Po Box 278, 
Angleton I.S.D. Police Dept.,1201 Henderson Road, 
Angleton Police Department,104 Cannan Dr., 
Angola Police,202 West Gilmore Street, 
Anguilla Police Department,Post Office Box 217, 
Anita Police Department,Po Box 246, 
Ankeny Police Department,211 Sw Walnut, 
Anmoore Police Department,Post Office Box 178, 
Ann Arbor Police Department,100 North Fifth Ave, 
Anna Police Department,Box 776, 
Anna Police Department,P.O. Box 140,207 West Main Street
Anna Police Dept,201 East Vienna Street, 
Annandale Police Department,30 Cedar St., 
Annapolis Police Department,199 Taylor Ave, 
Annawan Police Dept,203 West Front Street,P.O. Box 356
Anne Arundel County Police Department,8495 Veterans Highway, 
Anne Arundel County Sheriff's Office,"Po Box 507, Courthouse",7 Church Circle
Anniston Police Department,Post Office Box 2168, 
Annville Township Police Department,36 N Lancaster St,PO Box 178
Anoka County Sheriff's Office,325 E Jackson St, 
Anoka Police Department,275 Harrison Street, 
Anson County Sheriff's Office,119 N Washington St, 
Anson Police Department,1314 Commercial, 
Ansonia Police Department,108 West Canal Street,P.O. Box 824
Ansonia Police Department,2 Elm Street, 
Ansted Police Department,Post Office Box 798, 
Antelope County Sheriff's Office,205 E 6Th St,PO Box 72
Anthon Police Department,Po Box 160, 
Anthony Police Department,202 S Bluff, 
Anthony Police Department,P. O. Box 1269, 
Antigo Police Department,840 Clermont Street Safety Building, 
Antioch Police Department,300 L Street, 
Antioch Police Dept,433 Orchard Street, 
Antlers Police Department,100 S. E. 2Nd Street, 
Antonito Police Department,P O Box 86, 
Antrim County Sheriff's Office,Po Box 568, 
Antrim Police Department,Po Box 506, 
Antwerp Police Department,118 N. Main Street,P.O. Box 1046
Apache County Sheriff's Office,Po Box 518, 
Apache Junction Police Department,300 E. Superstition Blvd., 
Apache Police Department,P. O. Box 390, 
Apalachicola Police Department,1 Avenue E, 
Apex Police Department,205 Saunders Street, 
Aplington Police Department,Po Box 21, 
Apollo Borough Police Department,P.O. Box 306, 
Apopka Police Department,112 East 6Th Street, 
Appalachia Police Department,P.O. Box 112, 
Appalachian Behavioral Healthcare Police Dept.,66737 Old 21 Road, 
Appalachian State University Police Dept,Po Box 32113, 
Appanoose County Sheriff's Office,1125 W Van Buren St,PO Box 474
Apple Creek Police Department,63 East Main Street,P.O. Box 208
Apple Valley Police Department,7100 - 147Th Street West, 
Appleton City Police Department,114 E Fourth St   Po Box 134, 
Appleton Police Department,222 South Walnut Street, 
Appleton Police Department,323 W. Schlieman Avenue, 
Appling County Sheriff's Office,560 Barnes St Ste B, 
Appomattox County Sheriff's Office,Po Box 366,179 Morton Ln
Aquinnah Police Department,67 State Road, 
Arab Police Department,740 North Main Street, 
Aragon Police Department,2814 Rome Hwy, 
Aransas County Constable Pct. 1,1511 Red Bird, 
Aransas County Constable Pct. 2,"301 N. Live Oak , Room 113", 
Aransas County I.S.D. Police Dept.,P. O. Box 907, 
Aransas County Sheriff's Office,301 N Live Oak St, 
Aransas Pass Police Department,600 Cleveland Blvd, 
Arapahoe Community College Police Department,P O Box 9006, 
Arapahoe County Sheriff's Office,13101 E Broncos Pkwy, 
Arcade Police Department,P.O. Box 417, 
Arcade Village Police Department,17 Church Street, 
Arcadia Police,208 West Main Street,Post Office Box 578
Arcadia Police Department,250 W. Huntington Drive, 
Arcadia Police Department,Po Box 767, 
Arcadia Police Department,Post Office Box 1014, 
Arcadia Police Department,203 West Main Street, 
Arcadia Police Department,Po Box 8, 
Arcadia Police Department,P. O. Box 268, 
Arcanum Police Department,104 West South Street, 
Arcata Police Department,736 F Street, 
Archbald Borough Police Department,400 Church Street, 
Archbold Police Department,405 East Lutz Road, 
Archdale Police Department,305 Balfour Drive, 
Archer City Police Department,P.O. Box 367, 
Archer County Constable Pct. 2,201 N. Walnut, 
Archer County Sheriff's Office,100 South Sycamore,P.O. BOX 517
Archie Police Department,401 S Main Street   Po Box 346, 
Archuleta County Sheriff's Office,Po Box 638,449 San Juan St
Arcola Police Department,13222 Hwy 6, 
Arcola Police Department,Post Office Box 25, 
Arcola Police Dept,P.O. Box 215, 
Ardmore Police Department,P. O. Box 1413, 
Ardmore Police Department,26704 Main St., 
Ardsley Village Police Department,507 Ashford Avenue, 
Arena Police Department,345 West Street, 
Arenac County Sheriff's Office,126 North Grove St,PO Box 606
Argentine Township Police Department,9048 Silver Lake Rd, 
Argo Police Department,8885 Gadsden Highway, 
Argonia Police Department,Po Box 35, 
Argos Police,101 S. First Street, 
Argyle Police Department,P. O. Box 609, 
Argyle Police Department,"101 Spruce Street, Suite 1", 
Ariton Police Department,Post Office Box 53, 
Arizona Department of Gaming,202 E. Earll Dr,Ste 200
Arizona Department of Liquor Licenses And Control,800 W. Washington,5th Fl
Arizona Department of Public Safety,P. O. Box 6638 Mail Drop 1000, 
Arizona Department of Racing,1110 W. Washington,Ste 260
Arizona Game And Fish Department,5000 W. Carefree Highway, 
Arizona State Capitol Police,"1700 W. Washington, B-15", 
Arizona State Parks - Law Enforcement,1300 W Washington St, 
Arizona State University Police Department,P. O. Box 870804, 
Arizona Western College Police Department,P.O. Box 929,2020 S. Avenue 8E
Arkadelphia Police Department,514 Clay Street, 
Arkansas ABC Enforcement,1515 W. 7th St., 
Arkansas City Police Department,Po Box 778, 
Arkansas City Police Department,P.O. Box 369, 
Arkansas County Sheriff's Office,1000 Rice Belt Ave, 
Arkansas Forestry Commission - Law Enforcement Div.,3821 West Roosevelt Road, 
Arkansas Game And Fish - Enforcement Division,#2 Nautral Resources Drive, 
Arkansas Highway Police,PO Box 2779, 
Arkansas Insurance Department - Fraud Investigation Div.,1200 W. 3Rd Street, 
Arkansas Parks & Tourism,#1 Capitol Mall, 
Arkansas State Capitol Police,Secretary Of State'S Office, 
Arkansas State Hospital Dept of Public Safety,4313 West Markham, 
Arkansas State Police,#1 State Police Plaza Drive, 
Arkansas State University - Beebe Police,P.O. Box 1000, 
Arkansas State University - Newport Police Dept,7648 Victory Blvd., 
Arkansas State University Police Dept.,P. O. Box 2767, 
Arkansas Tech University Dept of Public Safety,1511 North Boulder, 
Arkansas Tobacco Control,Suite 401,101 East Capitol
Arkoma Police Department,P. O. Box 277, 
Arley Police Department,Post Office Box 146, 
Arlington County Police Department,1425 N. Courthouse Rd., 
Arlington County Sheriff's Office,"1425 N Court House Rd, Ste 9100", 
Arlington Heights Police Department,601 Elliott Avenue, 
Arlington Heights Police Department,200 East Sigwalt Street, 
Arlington Police Department,112 Mystic Street, 
Arlington Police Department,P.O. Box 126, 
Arlington Police Department,620 W. Division, 
Arlington Police Department,322 W. Main Street, 
Arlington Police Department,110 East Third Street, 
Arma Police Department,Po Box 829, 
Armada Police Department,74274 Burk St,PO Box 903
Armour Police Department,Po Box 415,620 Main Street
Armstrong Atlantic State University Police Department,11935 Abercorn Street, 
Armstrong County District Attorney,"500 East Market Street, Courthouse", 
Armstrong County Sheriff's Office,Po Box 531,110 West 1st
Armstrong County Sheriff's Office,500 E Market St, 
Armstrong Police Department,Po Box 229, 
Arnaudville Police Department,Po Box 1010, 
Arnett Police Department,P. O. Box 344,219 E Renfrow
Arnold Police Department,601 Drey Street, 
Arnold Police Department,2101 Jeffco Boulevard, 
Arnolds Park Police Department,Po Box 437, 
Aroma Park Police Dept,Po Box 117, 
Aroostook County Sheriff's Office,"26 Court St, Ste 101", 
Arp Police Department,Drawer 68, 
Arroyo Grande Police Department,200 N. Halcyon Road, 
Artesia Police Department,P.O. Box 1659, 
Arthur County Sheriff's Office,Po Box 207, 
Arthur Police Dept,120 East Progress Street,Box 139
Arvada Police Department,P O Box 8101, 
Arvin Police Department,P.O. Box 156, 
Asbury Park Police,1 Municipal Plaza, 
Asbury Police Department,4985 Asbury Rd., 
Ascension Parish Sheriff's Office,Po Box 268, 
Ash Flat Police Department,Po Box 280, 
Ash Grove Police Department,Po Box 235, 
Asharoken Village Police Department,1 Asharoken Avenue, 
Ashburn Police Department,P. O. Box 766, 
Ashburnham Police Department,99 Central Street, 
Ashby Police Department,Po Box 280,893 Main St
Ashby Police Department,P.O. Box 72, 
Ashdown Police Department,P.O. Box 703, 
Ashe County Sheriff's Office,225 Court St,PO Box 395
Asheboro Police Department,Po Box 276, 
Asher Police Department,P. O. Box 308, 
Asheville Police Department,Po Box 7148, 
Asheville Regional Airport Police,Suite 1,61 Terminal Drive
Ashfield Police Department,412 Main Street, 
Ashford Police Department,Post Office Box 428, 
Ashland Borough Police Department,501 Chestnut St, 
Ashland City Police Department,P.O. Box 36, 
Ashland County Sheriff's Office,1205 E Main St, 
Ashland County Sheriff's Office,220 6Th St E, 
Ashland Police Department,601 England St.,P O Box 1600
Ashland Police Department,2085 Hwy 155, 
Ashland Police Department,Post Office Box 246, 
Ashland Police Department,10 Highland Street, 
Ashland Police Department,1155 E. Main Street, 
Ashland Police Department,109 E Broadway   Po Box 135, 
Ashland Police Department,1211 East Main Street, 
Ashland Police Department,137 Main St, 
Ashland Police Department,601 West Main Street, 
Ashland Police Department,Post Office Box 306, 
Ashland Police Department,Po Box 910, 
Ashland Police Department,P.O. Box 1864, 
Ashland Police Dept,101 N. Yates, 
Ashland Police Dept,2304 Silver Street, 
Ashley Borough Police Department,8 North Main Street, 
Ashley County Sheriff's Office,842 Ashley 12 West, 
Ashley Police,500 South Gonser Avenue,Post Office Box 70
Ashley Police Department,101 East High Street,P.O. Box 361
Ashtabula County Sheriff's Office,25 W Jefferson St, 
Ashtabula Police Department,110 West 44Th Street, 
Ashton Police Department,Po Box 689, 
Ashton Police Dept,P.O. Box 186,902 Main Street
Ashville Police Department,Post Office Box 70, 
Ashville Police Department,91 West Main Street, 
Ashwaubenon Dept. of Public Safety,2155 Holmgren Way, 
Asotin County Sheriff's Office,Po Box 130,127 2nd St
Asotin Police Department,130 Asotin Street,PO BOX 517
Aspen Police Department,"506 E Main St, Ste 102", 
Aspinwall Borough Police Department,217 Commerical Avenue, 
Assumption Parish Sheriff's Office,112 Franklin Ave,PO Box 69
Assumption Police Dept,110 west 2nd Street, 
Astatula Police Department,Post Office Box 172, 
Aston Township Police Department,5021Pennell Road, 
Astoria Police Department,555 30Th Street, 
Astoria Police Dept,P. O. Box 694,Town Hall
Atascadero Police Department,5505 El Camino Real, 
Atascosa County Constable Pct. 1,1853 Verdi Road, 
Atascosa County Constable Pct. 2,P.O. Box 1507,1300 SM 3175
Atascosa County Constable Pct. 3,P.O. Box 159, 
Atascosa County Constable Pct. 4,744 Highway 281 South, 
Atascosa County Sheriff's Office,1108 Campbell Ave, 
Atchafalaya Basin Levee District Police,P.O. Box 170, 
